flight_id,from_city,to_city,datetime,cost,cancel_available,time_cancel_available
FL5780,Quy Nhon,Da Nang,2025-05-22 07:00,1390000,False,
FL1987,Ho Chi Minh City,Pleiku,2025-05-22 14:00,770000,False,
FL5993,Hai Phong,Hanoi,2025-05-22 12:30,1140000,False,
FL8602,Quy Nhon,Phu Quoc,2025-05-22 16:45,1460000,True,2025-05-22 11:45
FL7704,Buon Ma Thuot,Nha Trang,2025-05-22 12:15,1340000,False,
FL4849,Da Nang,Pleiku,2025-05-22 19:15,800000,True,2025-05-22 16:15
FL9174,Vinh,Pleiku,2025-05-22 19:45,720000,False,
FL4357,Ho Chi Minh City,Pleiku,2025-05-22 11:15,1540000,False,
FL7674,Hai Phong,Buon Ma Thuot,2025-05-23 13:30,1590000,False,
FL3885,Phu Quoc,Hue,2025-05-23 06:00,640000,False,
FL3837,Ho Chi Minh City,Quy Nhon,2025-05-23 08:30,1980000,False,
FL8275,Hue,Phu Quoc,2025-05-23 17:00,1060000,True,2025-05-23 15:00
FL7807,Pleiku,Buon Ma Thuot,2025-05-23 15:00,1250000,True,2025-05-23 09:00
FL9322,Thanh Hoa,Nha Trang,2025-05-23 12:00,1950000,False,
FL4444,Buon Ma Thuot,Quy Nhon,2025-05-23 12:30,800000,False,
FL7512,Nha Trang,Vinh,2025-05-24 08:30,520000,True,2025-05-24 05:30
FL8421,Hai Phong,Phu Quoc,2025-05-24 16:45,1430000,True,2025-05-24 13:45
FL3781,Hue,Can Tho,2025-05-24 14:30,1480000,False,
FL3446,Ho Chi Minh City,Hanoi,2025-05-24 15:30,1210000,False,
FL1490,Can Tho,Pleiku,2025-05-24 07:15,660000,True,2025-05-24 02:15
FL1548,Ho Chi Minh City,Can Tho,2025-05-24 13:45,510000,True,2025-05-24 08:45
FL6264,Buon Ma Thuot,Ho Chi Minh City,2025-05-24 14:45,750000,False,
FL9241,Vinh,Can Tho,2025-05-24 07:00,1840000,True,2025-05-24 02:00
FL1362,Phu Quoc,Hue,2025-05-24 16:00,1360000,False,
FL9508,Phu Quoc,Da Nang,2025-05-24 13:45,1410000,False,
FL1466,Hanoi,Thanh Hoa,2025-05-24 12:30,790000,True,2025-05-24 07:30
FL5886,Can Tho,Nha Trang,2025-05-25 13:30,830000,True,2025-05-25 08:30
FL7951,Vinh,Nha Trang,2025-05-25 20:30,1610000,False,
FL8440,Quy Nhon,Can Tho,2025-05-25 08:45,580000,True,2025-05-25 03:45
FL6124,Thanh Hoa,Quy Nhon,2025-05-25 17:00,1640000,True,2025-05-25 11:00
FL3049,Ho Chi Minh City,Buon Ma Thuot,2025-05-25 11:30,1070000,False,
FL4934,Vinh,Da Nang,2025-05-25 16:00,1340000,False,
FL7868,Hai Phong,Quy Nhon,2025-05-25 17:15,740000,True,2025-05-25 11:15
FL9800,Thanh Hoa,Buon Ma Thuot,2025-05-25 20:30,960000,False,
FL1116,Da Nang,Thanh Hoa,2025-05-25 11:30,680000,False,
FL4479,Thanh Hoa,Phu Quoc,2025-05-25 11:30,510000,True,2025-05-25 06:30
FL9787,Nha Trang,Buon Ma Thuot,2025-05-25 15:15,1410000,False,
FL6148,Nha Trang,Can Tho,2025-05-26 13:30,880000,True,2025-05-26 08:30
FL3972,Hai Phong,Quy Nhon,2025-05-26 16:45,1940000,True,2025-05-26 14:45
FL1009,Pleiku,Hanoi,2025-05-26 11:45,680000,True,2025-05-26 06:45
FL9055,Can Tho,Phu Quoc,2025-05-26 09:45,1090000,True,2025-05-26 07:45
FL9269,Quy Nhon,Can Tho,2025-05-26 18:45,1220000,True,2025-05-26 14:45
FL5539,Hue,Vinh,2025-05-26 08:45,1920000,True,2025-05-26 05:45
FL9834,Ho Chi Minh City,Hue,2025-05-26 16:15,720000,False,
FL2834,Can Tho,Quy Nhon,2025-05-26 08:45,900000,True,2025-05-26 06:45
FL3358,Hai Phong,Can Tho,2025-05-26 18:45,1250000,False,
FL7380,Can Tho,Hue,2025-05-26 14:30,1890000,False,
FL8077,Phu Quoc,Nha Trang,2025-05-27 08:30,1530000,False,
FL2866,Phu Quoc,Buon Ma Thuot,2025-05-27 16:45,1690000,False,
FL2732,Thanh Hoa,Hue,2025-05-27 07:00,2000000,True,2025-05-27 04:00
FL7529,Thanh Hoa,Pleiku,2025-05-27 10:00,500000,True,2025-05-27 04:00
FL2489,Hue,Vinh,2025-05-27 17:15,2000000,True,2025-05-27 11:15
FL3892,Da Nang,Vinh,2025-05-27 17:30,1020000,False,
FL2217,Vinh,Nha Trang,2025-05-27 06:30,740000,False,
FL6549,Ho Chi Minh City,Nha Trang,2025-05-28 15:30,1070000,False,
FL7522,Vinh,Phu Quoc,2025-05-28 10:00,1620000,False,
FL6191,Hue,Thanh Hoa,2025-05-28 17:00,1300000,False,
FL4220,Nha Trang,Phu Quoc,2025-05-28 14:45,660000,False,
FL6945,Quy Nhon,Hue,2025-05-28 16:45,1680000,False,
FL2933,Hanoi,Nha Trang,2025-05-28 06:15,1760000,True,2025-05-28 00:15
FL4105,Phu Quoc,Nha Trang,2025-05-28 19:30,1420000,False,
FL5485,Hanoi,Vinh,2025-05-28 08:45,1840000,False,
FL4345,Phu Quoc,Ho Chi Minh City,2025-05-28 13:15,550000,True,2025-05-28 11:15
FL6938,Da Nang,Phu Quoc,2025-05-28 19:30,940000,False,
FL2754,Nha Trang,Da Nang,2025-05-28 19:30,810000,True,2025-05-28 14:30
FL5999,Pleiku,Can Tho,2025-05-28 10:00,1840000,False,
FL1868,Hanoi,Pleiku,2025-05-29 13:00,570000,True,2025-05-29 08:00
FL2671,Hai Phong,Pleiku,2025-05-29 06:15,1820000,True,2025-05-29 02:15
FL4743,Can Tho,Thanh Hoa,2025-05-29 14:45,960000,True,2025-05-29 12:45
FL1846,Quy Nhon,Phu Quoc,2025-05-29 12:30,1020000,True,2025-05-29 07:30
FL1986,Quy Nhon,Hue,2025-05-29 16:45,1370000,True,2025-05-29 14:45
FL5059,Nha Trang,Buon Ma Thuot,2025-05-29 07:00,1480000,True,2025-05-29 03:00
FL2328,Pleiku,Da Nang,2025-05-29 16:00,1660000,True,2025-05-29 10:00
FL3408,Vinh,Can Tho,2025-05-29 13:30,1700000,False,
FL8222,Phu Quoc,Buon Ma Thuot,2025-05-29 20:15,700000,True,2025-05-29 16:15
FL1168,Quy Nhon,Pleiku,2025-05-29 16:45,1610000,False,
FL7599,Quy Nhon,Da Nang,2025-05-29 08:15,730000,True,2025-05-29 03:15
FL4918,Da Nang,Hanoi,2025-05-29 14:15,1210000,False,
FL8645,Can Tho,Buon Ma Thuot,2025-05-30 10:30,1000000,True,2025-05-30 06:30
FL2213,Phu Quoc,Thanh Hoa,2025-05-30 09:00,720000,False,
FL3865,Ho Chi Minh City,Buon Ma Thuot,2025-05-30 11:30,520000,True,2025-05-30 07:30
FL7776,Hue,Thanh Hoa,2025-05-30 12:00,1480000,False,
FL8384,Hai Phong,Thanh Hoa,2025-05-30 12:15,640000,False,
FL1339,Vinh,Can Tho,2025-05-30 12:30,1850000,True,2025-05-30 07:30
FL2919,Da Nang,Pleiku,2025-05-30 06:30,740000,True,2025-05-30 02:30
FL7210,Nha Trang,Buon Ma Thuot,2025-05-30 14:45,890000,False,
FL4135,Hue,Quy Nhon,2025-05-30 07:15,1920000,True,2025-05-30 01:15
FL3481,Vinh,Da Nang,2025-05-30 16:45,1110000,True,2025-05-30 13:45
FL3248,Buon Ma Thuot,Quy Nhon,2025-05-30 13:00,1340000,False,
FL3211,Vinh,Quy Nhon,2025-05-30 19:30,1940000,False,
FL5447,Nha Trang,Thanh Hoa,2025-05-31 20:30,950000,False,
FL1190,Can Tho,Buon Ma Thuot,2025-05-31 18:30,1770000,True,2025-05-31 12:30
FL9933,Pleiku,Quy Nhon,2025-05-31 06:15,1150000,False,
FL9231,Thanh Hoa,Hue,2025-05-31 13:00,620000,False,
FL3919,Hanoi,Phu Quoc,2025-05-31 13:15,500000,True,2025-05-31 11:15
FL1354,Nha Trang,Buon Ma Thuot,2025-05-31 17:45,900000,False,
FL5147,Da Nang,Hanoi,2025-05-31 20:30,610000,True,2025-05-31 17:30
FL2943,Da Nang,Ho Chi Minh City,2025-05-31 08:30,660000,True,2025-05-31 02:30
FL4955,Thanh Hoa,Hanoi,2025-05-31 09:00,1280000,True,2025-05-31 06:00
FL8352,Buon Ma Thuot,Hanoi,2025-05-31 07:00,1730000,False,
FL2504,Hanoi,Hai Phong,2025-05-31 10:00,1240000,True,2025-05-31 07:00
FL8382,Phu Quoc,Thanh Hoa,2025-06-01 15:15,1960000,True,2025-06-01 12:15
FL2095,Nha Trang,Thanh Hoa,2025-06-01 13:30,810000,False,
FL5333,Hanoi,Da Nang,2025-06-01 17:00,1590000,True,2025-06-01 13:00
FL7685,Ho Chi Minh City,Buon Ma Thuot,2025-06-01 16:15,1980000,False,
FL1180,Can Tho,Thanh Hoa,2025-06-01 14:30,1430000,True,2025-06-01 09:30
FL5341,Ho Chi Minh City,Hai Phong,2025-06-01 11:30,1950000,True,2025-06-01 05:30
FL7300,Hai Phong,Hanoi,2025-06-01 18:15,530000,False,
FL8263,Quy Nhon,Buon Ma Thuot,2025-06-01 20:45,1050000,False,
FL4347,Quy Nhon,Hue,2025-06-01 16:15,1100000,True,2025-06-01 10:15
FL7136,Hai Phong,Hue,2025-06-01 10:00,900000,True,2025-06-01 07:00
FL8400,Can Tho,Quy Nhon,2025-06-02 17:00,940000,False,
FL1839,Hai Phong,Ho Chi Minh City,2025-06-02 10:15,780000,True,2025-06-02 05:15
FL8387,Quy Nhon,Thanh Hoa,2025-06-02 09:00,1010000,True,2025-06-02 03:00
FL5011,Quy Nhon,Vinh,2025-06-02 16:00,720000,False,
FL3961,Hue,Nha Trang,2025-06-02 15:45,1990000,True,2025-06-02 13:45
FL3219,Buon Ma Thuot,Phu Quoc,2025-06-02 07:30,1140000,False,
FL8637,Da Nang,Pleiku,2025-06-02 12:30,1770000,False,
FL2274,Quy Nhon,Pleiku,2025-06-02 16:30,1000000,True,2025-06-02 13:30
FL3463,Pleiku,Nha Trang,2025-06-02 17:30,500000,False,
FL9712,Hanoi,Pleiku,2025-06-03 10:00,1890000,False,
FL3854,Quy Nhon,Thanh Hoa,2025-06-03 18:30,1820000,False,
FL5576,Buon Ma Thuot,Hue,2025-06-03 09:00,1630000,True,2025-06-03 04:00
FL7930,Hai Phong,Da Nang,2025-06-03 20:30,1880000,True,2025-06-03 18:30
FL1546,Da Nang,Quy Nhon,2025-06-03 13:15,1990000,False,
FL8260,Can Tho,Hai Phong,2025-06-03 06:15,1320000,True,2025-06-03 02:15
FL4723,Can Tho,Thanh Hoa,2025-06-04 15:00,1170000,False,
FL2596,Hue,Da Nang,2025-06-04 19:15,1530000,False,
FL4796,Pleiku,Hai Phong,2025-06-04 16:30,660000,True,2025-06-04 12:30
FL9026,Hanoi,Hai Phong,2025-06-04 10:45,540000,False,
FL1718,Thanh Hoa,Buon Ma Thuot,2025-06-04 08:00,1410000,False,
FL3868,Quy Nhon,Nha Trang,2025-06-04 09:15,1320000,False,
FL7555,Da Nang,Hanoi,2025-06-04 14:45,980000,True,2025-06-04 11:45
FL2719,Phu Quoc,Hanoi,2025-06-04 20:45,630000,False,
FL9939,Phu Quoc,Pleiku,2025-06-04 07:15,1900000,False,
FL4145,Thanh Hoa,Ho Chi Minh City,2025-06-04 10:00,910000,True,2025-06-04 08:00
FL2674,Can Tho,Da Nang,2025-06-04 06:30,1930000,False,
FL6217,Da Nang,Hue,2025-06-05 16:15,1020000,True,2025-06-05 13:15
FL2589,Quy Nhon,Phu Quoc,2025-06-05 16:45,930000,False,
FL5872,Phu Quoc,Quy Nhon,2025-06-05 09:15,790000,True,2025-06-05 06:15
FL7280,Vinh,Pleiku,2025-06-05 13:00,1320000,True,2025-06-05 07:00
FL2619,Da Nang,Thanh Hoa,2025-06-05 08:00,1170000,False,
FL6400,Quy Nhon,Hanoi,2025-06-05 10:30,720000,True,2025-06-05 08:30
FL6375,Nha Trang,Hanoi,2025-06-05 11:15,1710000,True,2025-06-05 09:15
FL2841,Ho Chi Minh City,Da Nang,2025-06-05 11:30,1090000,True,2025-06-05 09:30
FL7779,Hanoi,Phu Quoc,2025-06-05 10:45,1500000,False,
FL1808,Thanh Hoa,Hue,2025-06-05 16:45,920000,False,
FL7232,Hanoi,Da Nang,2025-06-05 16:45,1200000,True,2025-06-05 11:45
FL1191,Phu Quoc,Can Tho,2025-06-06 13:00,1260000,False,
FL6005,Hanoi,Buon Ma Thuot,2025-06-06 10:00,1480000,False,
FL4404,Buon Ma Thuot,Da Nang,2025-06-06 06:30,1290000,False,
FL3718,Ho Chi Minh City,Phu Quoc,2025-06-06 20:45,510000,True,2025-06-06 16:45
FL2046,Da Nang,Hue,2025-06-06 09:45,1780000,False,
FL7075,Hai Phong,Thanh Hoa,2025-06-06 13:15,1170000,True,2025-06-06 08:15
FL1205,Buon Ma Thuot,Quy Nhon,2025-06-06 20:45,1640000,False,
FL2700,Buon Ma Thuot,Hanoi,2025-06-06 18:00,550000,False,
FL2122,Buon Ma Thuot,Hue,2025-06-06 10:15,1620000,True,2025-06-06 08:15
FL7848,Hai Phong,Da Nang,2025-06-06 12:15,1270000,True,2025-06-06 08:15
FL5786,Hanoi,Phu Quoc,2025-06-06 13:30,1470000,True,2025-06-06 11:30
FL6381,Buon Ma Thuot,Hue,2025-06-06 06:00,900000,False,
FL7777,Hai Phong,Buon Ma Thuot,2025-06-07 18:00,1520000,False,
FL3199,Hai Phong,Pleiku,2025-06-07 16:30,610000,True,2025-06-07 14:30
FL9851,Buon Ma Thuot,Hai Phong,2025-06-07 09:45,660000,False,
FL4698,Hanoi,Pleiku,2025-06-07 07:15,1760000,False,
FL4959,Pleiku,Nha Trang,2025-06-07 18:15,1490000,True,2025-06-07 14:15
FL8801,Hai Phong,Hue,2025-06-07 20:15,810000,False,
FL7286,Phu Quoc,Da Nang,2025-06-07 11:00,1330000,True,2025-06-07 05:00
FL1820,Hai Phong,Pleiku,2025-06-07 20:00,1520000,False,
FL2171,Quy Nhon,Pleiku,2025-06-07 06:45,950000,False,
FL8389,Buon Ma Thuot,Ho Chi Minh City,2025-06-07 11:15,940000,False,
FL7584,Nha Trang,Buon Ma Thuot,2025-06-07 11:30,1240000,True,2025-06-07 08:30
FL5519,Nha Trang,Thanh Hoa,2025-06-08 19:30,1460000,True,2025-06-08 13:30
FL6465,Hai Phong,Pleiku,2025-06-08 11:00,1460000,False,
FL1041,Buon Ma Thuot,Ho Chi Minh City,2025-06-08 09:15,990000,False,
FL7390,Pleiku,Ho Chi Minh City,2025-06-08 11:30,1420000,False,
FL1056,Hue,Phu Quoc,2025-06-08 11:00,1150000,False,
FL8530,Nha Trang,Pleiku,2025-06-08 17:45,1840000,False,
FL2500,Hue,Nha Trang,2025-06-08 06:30,870000,True,2025-06-08 03:30
FL5820,Pleiku,Hanoi,2025-06-08 14:00,1670000,True,2025-06-08 11:00
FL1127,Nha Trang,Da Nang,2025-06-09 17:45,1050000,True,2025-06-09 11:45
FL8012,Vinh,Thanh Hoa,2025-06-09 07:00,790000,True,2025-06-09 01:00
FL7996,Ho Chi Minh City,Quy Nhon,2025-06-09 13:15,1980000,False,
FL1825,Phu Quoc,Hai Phong,2025-06-09 10:00,810000,True,2025-06-09 06:00
FL5880,Buon Ma Thuot,Phu Quoc,2025-06-09 10:30,1290000,False,
FL1469,Quy Nhon,Nha Trang,2025-06-09 18:00,1420000,True,2025-06-09 15:00
FL2310,Da Nang,Vinh,2025-06-09 20:00,710000,True,2025-06-09 17:00
FL9131,Da Nang,Hue,2025-06-10 18:00,1690000,True,2025-06-10 12:00
FL9109,Thanh Hoa,Ho Chi Minh City,2025-06-10 15:45,780000,True,2025-06-10 12:45
FL7548,Da Nang,Hai Phong,2025-06-10 11:00,1910000,True,2025-06-10 08:00
FL6742,Thanh Hoa,Hanoi,2025-06-10 07:45,1040000,True,2025-06-10 02:45
FL4474,Buon Ma Thuot,Da Nang,2025-06-10 08:00,1750000,False,
FL9691,Can Tho,Hai Phong,2025-06-10 19:30,1220000,False,
FL3977,Buon Ma Thuot,Nha Trang,2025-06-10 19:00,1290000,True,2025-06-10 17:00
FL7254,Hanoi,Hue,2025-06-10 11:45,1630000,True,2025-06-10 07:45
FL5362,Vinh,Quy Nhon,2025-06-10 16:30,1040000,True,2025-06-10 10:30
FL1766,Vinh,Ho Chi Minh City,2025-06-10 14:00,1540000,False,
FL9507,Ho Chi Minh City,Pleiku,2025-06-10 06:00,1690000,False,
FL1331,Vinh,Pleiku,2025-06-11 15:30,530000,True,2025-06-11 12:30
FL7713,Vinh,Ho Chi Minh City,2025-06-11 17:00,1450000,True,2025-06-11 13:00
FL6838,Ho Chi Minh City,Thanh Hoa,2025-06-11 15:15,1300000,False,
FL9637,Phu Quoc,Hue,2025-06-11 13:00,1850000,False,
FL9058,Da Nang,Buon Ma Thuot,2025-06-11 10:15,1850000,False,
FL5699,Can Tho,Da Nang,2025-06-11 07:45,1530000,True,2025-06-11 05:45
FL3582,Phu Quoc,Ho Chi Minh City,2025-06-11 13:45,1210000,False,
FL2506,Nha Trang,Phu Quoc,2025-06-11 18:00,1150000,False,
FL3157,Hanoi,Hue,2025-06-11 08:30,1610000,True,2025-06-11 02:30
FL8640,Quy Nhon,Pleiku,2025-06-12 11:45,890000,False,
FL5158,Can Tho,Hue,2025-06-12 14:00,1690000,True,2025-06-12 10:00
FL6492,Vinh,Ho Chi Minh City,2025-06-12 07:30,960000,False,
FL8561,Vinh,Da Nang,2025-06-12 15:45,600000,True,2025-06-12 12:45
FL8919,Buon Ma Thuot,Vinh,2025-06-12 13:15,550000,True,2025-06-12 08:15
FL9970,Pleiku,Can Tho,2025-06-12 09:00,520000,False,
FL9406,Hai Phong,Hanoi,2025-06-13 06:00,550000,False,
FL1258,Thanh Hoa,Nha Trang,2025-06-13 08:30,1540000,False,
FL1298,Da Nang,Buon Ma Thuot,2025-06-13 13:00,1460000,True,2025-06-13 09:00
FL7672,Nha Trang,Quy Nhon,2025-06-13 12:15,810000,True,2025-06-13 06:15
